Korean,English,BLEU Score,Predict
'Bible Coloring'은 성경의 아름다운 이야기를 체험 할 수 있는 컬러링 앱입니다.,Bible Coloring' is a coloring application that allows you to experience beautiful stories in the Bible.,9.503475972243514,성경 채색 앱은 성경의 아름다운 이야기를 경험하는 채색 애플리케이션입니다.
씨티은행에서 일하세요?,Do you work at a City bank?,0.0,"도와요, 시티은행에 근무중입니다."
푸리토의 베스트셀러는 해외에서 입소문만으로 4차 완판을 기록하였다.,"PURITO's bestseller, which recorded 4th rough -cuts by words of mouth from abroad.",0.0,푸르이토의 BESTSELLER입니다. 외국에서 4번째 루프가 입력된 word of mouth에서 기록되었습니다.
11장에서는 예수님이 이번엔 나사로를 무덤에서 불러내어 죽은 자 가운데서 살리셨습니다.,In Chapter 11 Jesus called Lazarus from the tomb and raised him from the dead.,0.0,11장에서 예수는 라자루스를 묘지에서 부활시켰습니다.
"6.5, 7, 8 사이즈가 몇 개나 더 재입고 될지 제게 알려주시면 감사하겠습니다.","I would feel grateful to know how many stocks will be secured of size 6.5, 7, and 8.",3.4196159429512005,"6.5, 7, 8의 주식 수를 알려주셔서 감사합니다."
F/W 겐조타이거 키즈와 그리고 이번에 주문한 키즈 중 부족한 수량에 대한 환불입니다.,"18fw Kenzo Tiger Kids, and refund for lacking quantity of Kids which was ordered this time.",0.0,"18fw Kenzo Tiger Kids, 배송되지 않은 Quantity의 Kids refund를 요청하였습니다."
강아지들과 내 사진을 보낼게.,And I'll send you a picture of me and my dogs.,4.08248290463863,"반가워요, 저와 애완동물들과 함께 사진을 보냅니다."
그 수익금 중 일부를 위안부 할머니들을 위해 쓰고 그들을 위해 여러 가지 캠페인을 벌이고 있습니다.,"Part of profits are used for the comfort women, and it is holding various campaigns for them.",1.5775377779808883,"본사의 이익의 일부가 충실한 여성에게 사용되고 있으며, 그들에게 다양한 캠페인을 실행하고 있습니다."
그들은 내가 잘하는 것을 바탕으로 별명을 사용하고 있기 때문에 나는 사람들이 치타라고 불러주면 기분이 좋아.,I feel happy when people call me cheetah because they are using a nickname based on something that I am good at.,1.2311894877003864,즐거움을 느끼게 되면 저를 '치타'라는 별칭으로 불러주는 사람들이 있습니다.
그러므로 실제로 컴퓨터 프로그램을 만든 사람이 프로그램에 대한 저작자가 돼요.,"So, a person who made a computer program actually becomes an author of that computer program.",10.62031561831225,따라서 컴퓨터 프로그램을 만든 사람은 그 프로그램의 저자라고 합니다.
나는 친구에게 그 철학자의 책을 선물해 주겠다고 말했습니다.,I told my friends that I will give you the philosopher's book as a gift.,2.8634401465295505,저는 친구들에게 필로스로퍼의 책을 선물로 줄 것입니다.
나머지 사진은 내 친구들이야.,And the rest of the pictures are my friends.,0.0,밖에는 나의 친구들이 있습니다.
나머지 시간에는 공부해요.,I study for the rest of the time.,8.034284189446518,나는 나머지 시간을 공부합니다.
네가 하는 일과 공부 잘하길 멀리서 응원할게.,I will cheer you on your work and your grade from far away.,0.0,멀리에서 작업과 점수를 응원해 드리겠습니다.
다른 선수들이 몬스터를 사냥할 경우 당신은 추가 경험치를 획득해요.,"If other players hunt monsters, you gain additional experience.",3.2668286409255014,"其他플레이어가 몬스터를 사냥하면, 당신은 추가적인 경험치를 얻습니다."
당신에게 영화관 티켓을 그냥 보여 주면 되나요?,Can I just show you my ticket to the movie theater?,0.0,저는 영화관으로 입장권을 보여드리고 싶습니다.
마치 목욕탕 창구처럼 보일까말까 한 작은 구멍으로 내가 돈을 주면 그 여자가 교통카드를 충전시켜주었던 기억이 납니다.,"I remember that the person recharged my transportation card when I gave her money through a tiny hole, just like the ticket office for the public bath.",1.5746804497764577,저는 돈을 통해 환경적으로 작은 틈으로 저희의 교통카드를 충전했던 사람을 기억합니다.
문화뿐만 아니라 그 나라만의 독특한 사회 전체의 유기적 관계를 알 수 있습니다.,"Not only the culture, but we can also learn about the unique organic relationships in the entire society.",1.6170365420297905,문화가 아닌 문제에서도 살아있는 社会적 관계를 배워보세요.
"얼마 전 가진 A사와의 회의 결과, 본계약의 계약 시점은 약간 지연된다고 합니다.","As a result of the meeting with A company that we recently had, the contract time will be postponed a bit.",1.9229913610012237,회사와의 만찬에서 계약 시간이 약간 미뤄질 것입니다.
에어비앤비 투어 서비스를 운영자의 프로필 사진을 촬영하고 이야기를 정리해 사이트에 소개하려해요.,I would take pictures of tour administrators and arrange their stories and introduce them to the website.,2.5124218547395096,"사진을 찍어보세요, 투어 관리인과 이야기를 구성하고, 웹사이트에 introduce하세요."
